maker,name,price
ガレリア GALLERIA,ゲーミングデスクトップパソコン/Core i7-14700F/RTX 4060Ti/メモリ 32GB/SSD1TB/Windows 11 Home XRR7F46T31R41,"￥289,980"
HP,ゲーミングデスクトップパソコン/Victus 15L Gaming TG02-1000 G1モデル/Core i5-13400F/RTX 4060/メモリ 16GB/SSD 512GB/Windows 11 Home/マイカシルバー 8L9K7PA-AAAE,"￥186,240"
エイスース ASUS,ゲーミングデスクトップパソコン/ROG Strix G13CHR/Core i5-14400F/RTX 3050/メモリ 16GB/SSD 512GB/Windows 11 Home/エクストリームダークグレー G13CHR-51440F127W,"￥188,800"
エイスース ASUS,ゲーミングデスクトップパソコン/ROG Strix G13CHR/Core i5-14400F/RTX 4060/メモリ 32GB/SSD 1TB/Windows 11 Home/エクストリームダークグレー G13CHR-51440F158W,"￥239,800"
エイスース ASUS,ゲーミングデスクトップパソコン/ROG Strix G13CHR/Core i7-14700F/RTX 4060 Ti/メモリ 32GB/SSD 1TB/Windows 11 Home/エクストリームダークグレー G13CHR-71470F150W,"￥299,800"
MSI エムエスアイ,ゲーミングデスクトップパソコン/Trident AS 14NUC7-681JP/Core i7-14700F/RTX 4060/メモリ 16GB/SSD 1TB/Windows 11 Home TRIDENTAS-14NUC7-681JP,"￥283,270"
デル DELL,ゲーミングデスクトップ/Alienware Aurora R16/Core i7-14700KF/NVIDIA GeForce RTX 4070/メモリ 32GB/SSD 1TB+HDD 1TB/Windows 11 Home/バサルトブラック DA90-DWLBC,"￥414,800"
レノボ･ジャパン Lenovo,ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business2021/ブラック 90VH004LJP,"￥178,640"
ガレリア GALLERIA,ゲーミングデスクトップパソコン/Core i7-14700KF/RTX 4070SUPER/メモリ 32GB/SSD 1TB/Windows 11 Home ZRR7K47S31R41,"￥379,980"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i5-14400F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce GTX 1650/Windows 11 Home DGI5G1BYC25DNHB3,"￥189,800"
マウスコンピューター mouse computer,G-Tune ホワイトカラーゲーミングデスクトップパソコン/Core i7-14700F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4070 SUPER/Windows 11 Home DGI7G7SYC25DNHW3,"￥324,800"
マウスコンピューター mouse computer,G-Tune ホワイトカラーゲーミングデスクトップパソコン/Core i5-14400F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060/Windows 11 Home DGI5G60YC25DNHW3,"￥234,800"
MSI エムエスアイ,ゲーミングデスクトップパソコン/MAG Codex 6 14NUC7-066JP/Core i7-14700F/RTX 4060/メモリ 16GB/SSD 1TB/Windows 11 Home MAGCODEX6-14NUC7-066JP,"￥239,800"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i7-14700F/メモリ 64GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060/Windows 11 Home DGI7G60YC45DNHB3,"￥284,800"
デル DELL,ゲーミングデスクトップ/Alienware Aurora R16/Core i7-14700KF/NVIDIA GeForce RTX 4060/メモリ 16GB/SSD 1TB+HDD 1TB/Windows 11 Home/バサルトブラック DA80-DWLBC,"￥329,800"
マウスコンピューター mouse computer,G-Tune ホワイトカラーゲーミングデスクトップパソコン/Core i5-14400F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce GTX 1650/Windows 11 Home DGI5G1BYC25DNHW3,"￥189,800"
MSI エムエスアイ,ゲーミングデスクトップパソコン/Core i7-14700KF/メモリ 32GB/SSD 1TB/GeForce RTX 4080 SUPER/Windows 11 Pro TRIDENTX2-14NUG7-440JP,"￥549,590"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i7-14700F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060/Windows 11 Home DGI7G60YC25DNHB3,"￥264,800"
MSI エムエスアイ,ミドルハイクラスゲーミングPC/Core i7-14700KF/GeForce RTX 4070 Ti/メモリ 32GB/SSD 1TB/Windows 11 Pro Trident X2 14NUF7-293JP,"￥437,800"
MSI エムエスアイ,ゲーミングデスクトップパソコン/Trident AS 14NUC5-682JP/Core i5-14400F/RTX 4060/メモリ 16GB/SSD 1TB/Windows 11 Home TRIDENTAS-14NUC5-682JP,"￥204,430"
